id,tên,giới_tính
anhdvt-cskh,anhd,không rõ
cskh_vt_oahqtoan7658_cc2,toan,nam
vt_cskh_ctv_duy2782_ccdng,duy,nam
vt_cskh_ctv_phong233_cc2,phong,nam
vt_cskh_gdtt_hsnga6921_cc1,nga,nữ
vt_cskh_gs_lienptb_cc1,lien,nữ
vt_cskh_hsanh7885_cc2,anh,nữx
vt_cskh_hsanh7958_cc2,anh,nữx
vt_cskh_hshien7937_cc2,hien,nữ
vt_cskh_hshien7956_cc2,hien,nữ
vt_cskh_hslanh7849_ccdng,lanh,nữx
vt_cskh_hslinh7889_cc2,linh,nữ
vt_cskh_hslinh7955_cc2,linh,nữ
vt_cskh_hslinh8779_cc2,linh,nữ
vt_cskh_hsluc9800_ccdng,luc,nam
vt_cskh_hstho8600_cc2,tho,namx
vt_cskh_hsthoa8449_ccdng,thoa,nữ
vt_cskh_hsthuy7954_cc2,thuy,không rõ
vt_cskh_hstuoi6151_cc2,tuoi,không rõ
vt_cskh_hstuyen7953_cc2,tuyen,nữx
vt_cskh_hsyen7895_cc2,yen,nữ
vt_cskh_htk_hsduong8587_ccdng,duong,nam
vt_cskh_kcanh1576_cc2,anh,nữx
vt_cskh_kcduy7873_cc2,duy,nam
vt_cskh_kcduy7982_cc2,duy,nam
vt_cskh_kcha7886_cc2,ha,không rõ
vt_cskh_kchoang9943_ccdng,hoang,nam
vt_cskh_kchong7206_cc2,hong,không rõ
vt_cskh_kchue7877_cc2,hue,nữ
vt_cskh_kcmi9882_ccdng,mi,nữ
vt_cskh_kcnhung7878_cc2,nhung,nữ
vt_cskh_kcsang7875_ccdng,sang,namx
vt_cskh_kctam600_ccdng,tam,nữ
vt_cskh_kcthien3471_ccdng,thien,nam
vt_cskh_kcthuan7948_cc2,thuan,nam
vt_cskh_kcthuy9649_ccdng,thuy,không rõ
vt_cskh_kctinh9974_ccdng,tinh,namx
vt_cskh_kctrang4798_cc2,trang,nữ
vt_cskh_kcvinh8669_ccdng,vinh,nam
vt_cskh_ktbh_hantt_ccdng,han,không rõ
vt_cskh_ktbh_kieunt_cc2,kieu,nữx
vt_cskh_mpan3615_cc2,an,không rõ
vt_cskh_mpanh7592_cc2,anh,nữx
vt_cskh_mpanh7705_cc2,anh,nữx
vt_cskh_mpanh7974_cc2,anh,nữx
vt_cskh_mpchau3841_cc2,chau,nữ
vt_cskh_mpchinh7512_cc2,chinh,namx
vt_cskh_mpcong1998_cc2,cong,nam
vt_cskh_mpdan1210_cc2,dan,namx
vt_cskh_mpdiep2353_cc2,diep,nữ
vt_cskh_mpduc8344_cc2,duc,nam
vt_cskh_mphao8347_cc2,hao,nam
vt_cskh_mphien7706_cc2,hien,nữ
vt_cskh_mphong7686_cc2,hong,nữ
vt_cskh_mphong8110_cc2,hong,nữ
vt_cskh_mphuyen1580_cc2,huyen,nữ
vt_cskh_mphuyen7574_cc2,huyen,nữ
vt_cskh_mpkhoa7687_cc2,khoa,nam
vt_cskh_mplan7513_cc2,lan,nữ
vt_cskh_mpmai7703_cc2,mai,nữ
vt_cskh_mpmai8114_cc2,mai,nữ
vt_cskh_mpngan6799_cc2,ngan,nữ
vt_cskh_mpngan912_cc2,ngan,nữ
vt_cskh_mpnghia7690_cc2,nghia,nam
vt_cskh_mpngoa7975_cc2,ngoa,không rõ
vt_cskh_mpngoan7699_cc2,ngoan,nữx
vt_cskh_mpnhung7963_cc2,nhung,nữ
vt_cskh_mpnhut7976_cc2,nhut,namx
vt_cskh_mpphuoc2384_cc2,phuoc,nam
vt_cskh_mpphuong8351_cc2,phuong,nữ
vt_cskh_mpquynh4546_cc2,quynh,nữ
vt_cskh_mpquynh7965_cc2,quynh,nữ
vt_cskh_mpsang8349_cc2,sang,namx
vt_cskh_mptham7516_cc2,tham,nữ
vt_cskh_mpthao7590_cc2,thao,nữ
vt_cskh_mpthu1036_cc2,thu,nữ
vt_cskh_mpthu4438_cc2,thu,nữ
vt_cskh_mpthuan7970_cc2,thuan,nam
vt_cskh_mpthuong8353_cc2,thuong,không rõ
vt_cskh_mpthuy8087_cc2,thuy,không rõ
vt_cskh_mptien5638_cc2,tien,không rõ
vt_cskh_mptuc8350_cc2,tuc,không rõ
vt_cskh_mptuyen7515_cc2,tuyen,nữx
vt_cskh_mptuyen7689_cc2,tuyen,nữx
vt_cskh_mpuyen7575_cc2,uyen,nữ
vt_cskh_mpyen7981_cc2,yen,nữ
vt_cskh_oahqduy7802_cc2,duy,nam
vt_cskh_oahqhien1176_cc2,hien,nữ
vt_cskh_oahqhoa8473_cc2,hoa,nữ
vt_cskh_oahqhuong7922_cc2,huong,nữ
vt_cskh_oahqkhoi7924_cc2,khoi,nam
vt_cskh_oahqlai8319_cc2,lai,namx
vt_cskh_oahqlinh8594_cc2,linh,nữ
vt_cskh_oahqminh4934_cc2,minh,nam
vt_cskh_oahqnguyet3808_cc2,nguyet,nữ
vt_cskh_oahqquyen8315_cc2,quyen,nữx
vt_cskh_oahqquyen8596_cc2,quyen,nữx
vt_cskh_oahqthai7920_cc2,thai,nam
vt_cskh_oahqtram8317_cc2,tram,nữx
vt_cskh_oahqtrang2075_cc2,trang,nữ
vt_cskh_oahqtrang2087_cc2,trang,nữ
vt_cskh_oahqtu8475_cc2,tu,không rõ
vt_cskh_oahqtuan8232_cc2,tuan,nam
vt_cskh_oahqyen8583_cc2,yen,nữ
vt_cskh_ockhau1930_ccdng,hau,không rõ
vt_cskh_ockthu3843_ccdng,thu,nữ
vt_cskh_ohsan6223_ccdng,an,không rõ
vt_cskh_ohsanh4204_ccdng,anh,nữx
vt_cskh_ohsanh6497_ccdng,anh,nữx
vt_cskh_ohsanh779_ccdng,anh,nữx
vt_cskh_ohsbang5435_ccdng,bang,namx
vt_cskh_ohsbao5023_ccdng,bao,nam
vt_cskh_ohsbe4029_ccdng,be,nữx
vt_cskh_ohsbinh8577_ccdng,binh,nam
vt_cskh_ohschi3421_ccdng,chi,nữx
vt_cskh_ohscuong6494_ccdng,cuong,nam
vt_cskh_ohsdat5002_ccdng,dat,nam
vt_cskh_ohsdinh6265_ccdng,dinh,không rõ
vt_cskh_ohsduc2156_ccdng,duc,nam
vt_cskh_ohsduc2407_ccdng,duc,nam
vt_cskh_ohsdung6483_ccdng,dung,không rõ
vt_cskh_ohsduyen6468_ccdng,duyen,nữ
vt_cskh_ohsgiang1567_ccdng,giang,nữx
vt_cskh_ohsgiang1678_ccdng,giang,nữx
vt_cskh_ohshai1668_ccdng,hai,nam
vt_cskh_ohshai2380_ccdng,hai,nam
vt_cskh_ohshang6438_ccdng,hang,nữ
vt_cskh_ohshanh1203_ccdng,hanh,nữ
vt_cskh_ohshanh3005_ccdng,hanh,nữ
vt_cskh_ohshanh608_ccdng,hanh,nữ
vt_cskh_ohshau6257_ccdng,hau,không rõ
vt_cskh_ohshien2133_ccdng,hien,nữ
vt_cskh_ohshien3378_ccdng,hien,nữ
vt_cskh_ohshien6236_ccdng,hien,nữ
vt_cskh_ohshien6274_ccdng,hien,nữ
vt_cskh_ohshieu6472_ccdng,hieu,nam
vt_cskh_ohshue4732_ccdng,hue,nữ
vt_cskh_ohshue8524_ccdng,hue,nữ
vt_cskh_ohshuyen6422_ccdng,huyen,nữ
vt_cskh_ohskhuyen6490_ccdng,khuyen,nữ
vt_cskh_ohslam1402_ccdng,lam,namx
vt_cskh_ohsle2539_ccdng,le,nữx
vt_cskh_ohslen4158_ccdng,len,nữx
vt_cskh_ohslien5061_ccdng,lien,nữ
vt_cskh_ohslien6222_ccdng,lien,nữ
vt_cskh_ohslinh2467_ccdng,linh,nữ
vt_cskh_ohslinh4169_ccdng,linh,nữ
vt_cskh_ohsloan9909_ccdng,loan,nữ
vt_cskh_ohsloc6415_ccdng,loc,nam
vt_cskh_ohsluyen6427_ccdng,luyen,nữx
vt_cskh_ohsluyen6444_ccdng,luyen,nữx
vt_cskh_ohsly6480_ccdng,ly,nữ
vt_cskh_ohsmai6748_ccdng,mai,nữ
vt_cskh_ohsminh4810_ccdng,minh,nam
vt_cskh_ohsna6467_ccdng,na,không rõ
vt_cskh_ohsna6857_ccdng,na,không rõ
vt_cskh_ohsnga1705_ccdng,nga,nữ
vt_cskh_ohsngan3649_ccdng,ngan,nữ
vt_cskh_ohsnguyen5779_ccdng,nguyen,nữx
vt_cskh_ohsnguyet2351_ccdng,nguyet,nữ
vt_cskh_ohsnhan9688_ccdng,nhan,namx
vt_cskh_ohsnhi1720_ccdng,nhi,nữ
vt_cskh_ohsnhung2452_ccdng,nhung,nữ
vt_cskh_ohsni3161_ccdng,ni,nữx
vt_cskh_ohsoanh366_ccdng,oanh,nữ
vt_cskh_ohsoanh4996_ccdng,oanh,nữ
vt_cskh_ohsphuc1527_ccdng,phuc,nam
vt_cskh_ohsphuong3850_ccdng,phuong,nữx
vt_cskh_ohsphuong4159_ccdng,phuong,nữx
vt_cskh_ohsphuong6228_ccdng,phuong,nữx
vt_cskh_ohsphuong9772_ccdng,phuong,nữx
vt_cskh_ohsquan3029_ccdng,quan,nam
vt_cskh_ohsquynh9878_ccdng,quynh,nữ
vt_cskh_ohsta1745_ccdng,ta,không rõ
vt_cskh_ohstam3129_ccdng,tam,nữ
vt_cskh_ohstham9637_ccdng,tham,nữ
vt_cskh_ohsthanh3855_ccdng,thanh,namx
vt_cskh_ohsthanh6465_ccdng,thanh,nữx
vt_cskh_ohsthanh6482_ccdng,anh,nữx
vt_cskh_ohsthao1760_ccdng,thao,nữ
vt_cskh_ohsthao6245_ccdng,ao,nữ
vt_cskh_ohsthao9675_ccdng,ao,nữ
vt_cskh_ohsthinh3860_ccdng,thinh,nam
vt_cskh_ohsthoa4490_ccdng,thoa,nữ
vt_cskh_ohsthoa6995_ccdng,thoa,nữ
vt_cskh_ohsthuy3141_ccdng,thuy,không rõ
vt_cskh_ohsthuy3195_ccdng,thuy,không rõ
vt_cskh_ohsthuy3366_ccdng,thuy,không rõ
vt_cskh_ohsthuy3576_ccdng,thuy,không rõ
vt_cskh_ohsthuy7880_ccdng,thuy,không rõ
vt_cskh_ohsthuy8552_ccdng,thuy,không rõ
vt_cskh_ohstien2583_ccdng,tien,không rõ
vt_cskh_ohstram9706_ccdng,tram,nữ
vt_cskh_ohstrang4623_ccdng,trang,nữ
vt_cskh_ohstrang5009_ccdng,trang,nữ
vt_cskh_ohstrang6492_ccdng,trang,nữ
vt_cskh_ohstrinh2242_ccdng,trinh,nữ
vt_cskh_ohstrung6434_ccdng,trung,nam
vt_cskh_ohstruong5177_ccdng,truong,nam
vt_cskh_ohstuoi3048_ccdng,tuoi,không rõ
vt_cskh_ohstuyen6441_ccdng,tuyen,nữx
vt_cskh_ohsvan4544_ccdng,van,không rõ
vt_cskh_ohsvan6233_ccdng,van,không rõ
vt_cskh_ohsvan6238_ccdng,van,không rõ
vt_cskh_ohsvan8645_ccdng,van,không rõ
vt_cskh_ohsvi3932_ccdng,vi,nữ
vt_cskh_ohsvu6461_ccdng,vu,nam
vt_cskh_ohsvu9900_ccdng,vu,nam
vt_cskh_ohsvui3244_ccdng,vui,nữx
vt_cskh_ohsxuan5046_ccdng,xuan,nữ
vt_cskh_ohsyen3866_ccdng,yen,nữ
vt_cskh_ohsyen4808_ccdng,yen,nữ
vt_cskh_ohsyen6405_ccdng,yen,nữ
vt_cskh_okcan1161_ccdng,an,không rõ
vt_cskh_okcanh1749_ccdng,anh,nữx
vt_cskh_okcanh8245_cc2,anh,nữx
vt_cskh_okcanh8332_cc2,anh,nữx
vt_cskh_okcbich8847_ccdng,bich,nữ
vt_cskh_okcbinh1189_ccdng,binh,nam
vt_cskh_okcbinh4353_ccdng,binh,nam
vt_cskh_okcbinh4581_ccdng,binh,nam
vt_cskh_okcchung7803_ccdng,chung,nam
vt_cskh_okcchung9720_ccdng,chung,nam
vt_cskh_okcco8817_ccdng,co,không rõ
vt_cskh_okcdiem_4132_ccdng,diem,nữ
vt_cskh_okcdieu6199_ccdng,dieu,nữ
vt_cskh_okcdong7794_ccdng,dong,nam
vt_cskh_okcdung1304_ccdng,dung,không rõ
vt_cskh_okcdung3037_ccdng,dung,không rõ
vt_cskh_okcdung3411_ccdng,dung,không rõ
vt_cskh_okcdung8664_ccdng,dung,không rõ
vt_cskh_okcduong796_ccdng,duong,nam
vt_cskh_okcduyen3284_ccdng,duyen,nữ
vt_cskh_okcduyen7169_ccdng,duyen,nữ
vt_cskh_okcgam8299_ccdng,gam,nữx
vt_cskh_okcgiang3455_ccdng,giang,nữx
vt_cskh_okcgiang4756_ccdng,giang,nữx
vt_cskh_okcha3978_ccdng,ha,không rõ
vt_cskh_okcha8756_ccdng,ha,không rõ
vt_cskh_okchai8695_ccdng,hai,nam
vt_cskh_okchan6193_ccdng,han,nữ
vt_cskh_okchang7291_ccdng,hang,nữ
vt_cskh_okchanh4190_ccdng,hanh,nữ
vt_cskh_okchanh7461_ccdng,hanh,nữ
vt_cskh_okchanh8730_ccdng,hanh,nữ
vt_cskh_okchanh8769_ccdng,hanh,nữ
vt_cskh_okchau7463_ccdng,hau,không rõ
vt_cskh_okchien3056_ccdng,hien,nữ
vt_cskh_okchien9690_ccdng,hien,nữ
vt_cskh_okchien9775_ccdng,hien,nữ
vt_cskh_okchiep3549_ccdng,hiep,nam
vt_cskh_okchoa1572_ccdng,hoa,nữ
vt_cskh_okchoa8448_cc2,hoa,nữ
vt_cskh_okchoa8772_ccdng,hoa,nữ
vt_cskh_okchoa8863_ccdng,hoa,nữ
vt_cskh_okchong4760_ccdng,hong,nữ
vt_cskh_okchong7118_ccdng,hong,nữ
vt_cskh_okchop3537_ccdng,hop,nam
vt_cskh_okchung7296_ccdng,hung,nam
vt_cskh_okchung7786_ccdng,hung,nam
vt_cskh_okchuong8696_ccdng,huong,nữ
vt_cskh_okchuyen7798_ccdng,huyen,nữ
vt_cskh_okckhoi8240_cc2,khoi,nam
vt_cskh_okclien7486_ccdng,lien,nữ
vt_cskh_okclien7591_ccdng,lien,nữ
vt_cskh_okclien89_ccdng,lien,nữ
vt_cskh_okclieu2450_ccdng,lieu,nữ
vt_cskh_okclieu7151_ccdng,lieu,nữ
vt_cskh_okclieu8342_cc2,lieu,nữ
vt_cskh_okclinh7313_ccdng,linh,nữ
vt_cskh_okclinh7788_ccdng,linh,nữ
vt_cskh_okclinh8330_cc2,linh,nữ
vt_cskh_okcloan973_ccdng,loan,nữ
vt_cskh_okcloi9742_ccdng,loi,nữx
vt_cskh_okcly1691_ccdng,ly,nữ
vt_cskh_okcly3063_ccdng,ly,nữ
vt_cskh_okcly7170_ccdng,ly,nữ
vt_cskh_okcly7779_ccdng,ly,nữ
vt_cskh_okcmai1859_ccdng,mai,nữ
